Date,RELIANCE,TCS,HINDUNILVR,INFY,HDFC,BHARTIARTL,ITC,ASIANPAINT,NESTLEIND,HCLTECH,MARUTI,LT,TITAN,BRITANNIA,BAJAJ-AUTO,EICHERMOT,DRREDDY,DMART,PIDILITIND,HDFCBANK,KOTAKBANK,ICICIBANK,AXISBANK
28-05-2017,656.155273,1282.449951,1086.400024,484.725006,1604.650024,342.710083,319.200012,1164.300049,6648.600098,428.950012,7114.700195,1189.333374,471.75,1795.800049,2852.850098,2918.01001,2554.5,926.25,791.549988,817.125,965.25,289.227264,508.049988
04-06-2017,661.578918,1253.5,1095.349976,474.299988,1647.199951,337.705994,306,1155.75,6667.5,430.375,7464.850098,1185.466675,525.450012,1836.5,2865.800049,2976.485107,2628.800049,994.599976,804.700012,833.400024,985.099976,292.863647,513.650024
11-06-2017,687.879578,1199.849976,1091.800049,470.125,1640.849976,334.997375,306.799988,1145.400024,6759.75,419.5,7263.899902,1151.133301,516.400024,1784.474976,2809.800049,2874.689941,2682.600098,1048.400024,816.700012,834.625,982.650024,287.727264,510.450012
18-06-2017,711.183716,1180.849976,1097.900024,471.625,1651.349976,336.236908,311,1153.650024,6639.649902,425.924988,7219.149902,1148.466675,513.299988,1824.75,2824.300049,2716.669922,2643.699951,1070.849976,830.299988,839.325012,985.200012,291.850006,504.649994
25-06-2017,683.520935,1181.175049,1079.599976,467.774994,1614.949951,348.632324,323.649994,1102.949951,6736.799805,425.450012,7217.600098,1125.06665,524.450012,1845.025024,2791.199951,2703.939941,2690.100098,1087.75,805.599976,826.025024,955.75,290.149994,517.349976
02-07-2017,738.574036,1165.974976,1097.699951,467.700012,1629.150024,354.325043,334.299988,1115.449951,6870.049805,415.950012,7432.799805,1136.266724,532.5,1846.175049,2708.25,2785.225098,2705.399902,1039.150024,812.150024,833.599976,964.700012,289.700012,503.149994
09-07-2017,759.674072,1198.724976,1139.300049,486.024994,1647.699951,373.698608,337.149994,1117.349976,6810.950195,425.174988,7557.25,1171.199951,533.650024,1859.599976,2809.800049,2790.715088,2703,1078.449951,806.799988,839.974976,977.200012,298.25,512.950012
16-07-2017,785.058411,1245.599976,1158.650024,490.049988,1640.949951,377.646759,288.899994,1156.099976,6807.049805,452.475006,7543,1179.25,543.200012,1917.025024,2815.800049,2890.314941,2762.550049,1105.25,804.400024,851.525024,999.450012,302.049988,540.799988
23-07-2017,789.739075,1242.150024,1153.849976,498.674988,1785.349976,379.483124,291.549988,1153.25,6780.700195,446.549988,7630.450195,1161.400024,533.150024,1953.324951,2828.149902,2938.840088,2464.949951,1229.900024,787.900024,889.25,1012.700012,296.149994,515.099976
30-07-2017,803.458984,1261.400024,1192.099976,491.875,1731.349976,386.461273,280.75,1157.300049,6702.25,445.325012,7770.299805,1175.849976,611.200012,1958.699951,2874.649902,3163.725098,2239.550049,1167.400024,808.25,895.125,996.200012,296.25,508.100006
